animal_name,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,venomous,legs,tail,class_type
lobster,0,1,0,0,1,1,0,0,0,6,0,7
lynx,0,0,1,0,0,1,1,1,0,4,1,1
mink,0,0,1,0,1,1,1,1,0,4,1,1
mole,0,0,1,0,0,1,1,1,0,4,1,1
mongoose,0,0,1,0,0,1,1,1,0,4,1,1
moth,0,1,0,1,0,0,0,0,0,6,0,6
newt,0,1,0,0,1,1,1,1,0,4,1,5
octopus,0,1,0,0,1,1,0,0,0,8,0,7
opossum,0,0,1,0,0,1,1,1,0,4,1,1
oryx,0,0,1,0,0,0,1,1,0,4,1,1
ostrich,1,1,0,0,0,0,0,1,0,2,1,2
parakeet,1,1,0,1,0,0,0,1,0,2,1,2
penguin,1,1,0,0,1,1,0,1,0,2,1,2
pheasant,1,1,0,1,0,0,0,1,0,2,1,2
pike,0,1,0,0,1,1,1,1,0,0,1,4
piranha,0,1,0,0,1,1,1,1,0,0,1,4
pitviper,0,1,0,0,0,1,1,1,1,0,1,3
platypus,0,1,1,0,1,1,0,1,0,4,1,1
polecat,0,0,1,0,0,1,1,1,0,4,1,1
pony,0,0,1,0,0,0,1,1,0,4,1,1
porpoise,0,0,1,0,1,1,1,1,0,0,1,1
puma,0,0,1,0,0,1,1,1,0,4,1,1
pussycat,0,0,1,0,0,1,1,1,0,4,1,1
raccoon,0,0,1,0,0,1,1,1,0,4,1,1
reindeer,0,0,1,0,0,0,1,1,0,4,1,1
rhea,1,1,0,0,0,1,0,1,0,2,1,2
scorpion,0,0,0,0,0,1,0,0,1,8,1,7
seahorse,0,1,0,0,1,0,1,1,0,0,1,4
seal,0,0,1,0,1,1,1,1,0,0,0,1
sealion,0,0,1,0,1,1,1,1,0,2,1,1
seasnake,0,0,0,0,1,1,1,1,1,0,1,3
seawasp,0,1,0,0,1,1,0,0,1,0,0,7
skimmer,1,1,0,1,1,1,0,1,0,2,1,2
skua,1,1,0,1,1,1,0,1,0,2,1,2
slowworm,0,1,0,0,0,1,1,1,0,0,1,3
slug,0,1,0,0,0,0,0,0,0,0,0,7
sole,0,1,0,0,1,0,1,1,0,0,1,4
sparrow,1,1,0,1,0,0,0,1,0,2,1,2
squirrel,0,0,1,0,0,0,1,1,0,2,1,1
starfish,0,1,0,0,1,1,0,0,0,5,0,7
stingray,0,1,0,0,1,1,1,1,1,0,1,4
swan,1,1,0,1,1,0,0,1,0,2,1,2
termite,0,1,0,0,0,0,0,0,0,6,0,6
toad,0,1,0,0,1,0,1,1,0,4,0,5
tortoise,0,1,0,0,0,0,0,1,0,4,1,3
tuatara,0,1,0,0,0,1,1,1,0,4,1,3
tuna,0,1,0,0,1,1,1,1,0,0,1,4
vampire,0,0,1,1,0,0,1,1,0,2,1,1
vole,0,0,1,0,0,0,1,1,0,4,1,1
vulture,1,1,0,1,0,1,0,1,0,2,1,2
wallaby,0,0,1,0,0,0,1,1,0,2,1,1
wasp,0,1,0,1,0,0,0,0,1,6,0,6
wolf,0,0,1,0,0,1,1,1,0,4,1,1
worm,0,1,0,0,0,0,0,0,0,0,0,7
wren,1,1,0,1,0,0,0,1,0,2,1,2
